X;Y;ALUMÍNIO;Calcio;Potássio;Magnésio;Nitrogênio;Fósforo;pH;Carbono
-4861823.02;-2602656.75;0.00;2.87;46;1.04;0.09;86.09;6.45;9.15
-4861825.51;-2602667.03;0.00;2.19;68;0.92;0.08;73.06;6.17;9.21
-4861821.36;-2602623.89;0.00;3.58;86;1.47;0.11;123.29;6.25;-1
-4861824.92;-2602638.69;0.04;2.91;88;1.28;0.11;126;5.86;-1
-4861825.51;-2602644.17;0.05;2.59;120;0.99;0.09;133.33;5.86;-1
-4861826.95;-2602649.91;0.04;2.31;112;0.88;0.08;102.65;5.79;-1
-4861829.94;-2602660.64;0.01;1.99;84;0.72;0.07;92.34;6.36;-1
-4861828.73;-2602633.19;0.01;2.69;72;1.14;0.1;112.16;6.05;9.15
-4861831.79;-2602643.31;0.02;2.51;29;1.04;0.09;130.48;6.25;8.55
-4861834.26;-2602653.56;0.00;2.07;48;0.88;0.08;99.99;6.17;10.35
-4861835.16;-2602659.5;0.00;1.97;37;0.76;0.07;99.72;6.2;-1
-4861836.5;-2602664.38;0.01;1.96;144;0.93;0.11;122.24;6.31;7.95
-4861835.08;-2602636.75;0.00;2.82;180;1.75;0.13;173.32;7.02;-1
-4861841.41;-2602662.84;0.00;1.84;140;0.95;0.06;78.57;6.78;-1
-4861844.72;-2602651.42;0.00;2.09;200;1.17;0.08;134.6;6.59;8.49
-4861846.03;-2602656.34;0.00;1.94;156;0.93;0.06;110.43;6.96;-1
-4861843.42;-2602618.67;0.04;2.42;26;0.88;0.08;94.77;6.06;-1
-4861849.71;-2602651;0.05;2.47;25;1.02;0.08;74.72;6.33;-1
-4861852.71;-2602661.35;0.07;2.22;23;0.85;0.08;76.65;6.22;-1
-4861849.14;-2602623.18;0.05;2.66;60;1.15;0.09;124.43;5.9;-1
-4861854.94;-2602649.08;0.05;2.16;34;0.87;0.07;64.01;6.08;6.21
-4861851.74;-2602611.33;0.03;3.16;112;1.25;0.11;124.16;6.28;-1
-4861853.11;-2602616.74;0.04;2.99;70;1.22;0.09;107.96;6.27;-1
-4861854.29;-2602621.84;0.04;2.51;76;1.02;0.09;77.75;6.29;-1
-4861856.63;-2602632.45;0.03;2.52;108;1.02;0.08;62.56;6.09;-1
-4861857.59;-2602637.74;0.00;2.17;144;0.91;0.07;80.96;6.21;-1
-4861858.48;-2602614.62;0.02;2.73;52;1.09;0.09;108.69;5.98;8.73
-4861859.47;-2602620.67;0.00;2.87;28;1.08;0.1;72.17;6.74;-1
-4861862.68;-2602636.63;0.09;1.8;74;0.95;0.08;115.55;5.28;7.77
-4861864.16;-2602641.47;0.02;1.81;22;0.75;0.07;71.35;6.56;-1
-4861864.49;-2602624.33;0.03;2.5;50;1.06;0.11;57.35;5.62;-1
-4861865.48;-2602629.62;0.08;2.13;66;0.85;0.09;69.43;5.7;-1
-4861867.8;-2602641.11;0.04;1.58;30;0.56;0.08;57.08;5.86;-1
-4861827.38;-2602677.23;0.01;1.45;31;0.6;0.05;39.51;5.52;4.89
-4861832.73;-2602675.4;0.03;0.9;22;0.31;0.04;61.47;5.38;-1
-4861839.67;-2602679.26;0.03;1.62;15;0.38;0.07;119.94;5.39;-1
-4861831.39;-2602687.84;0.01;1.21;23;0.96;0.07;20.31;5.76;4.89
-4861841.81;-2602684.74;0.04;1.05;15;0.37;0.05;62.29;5.24;4.29
-4861846.38;-2602682.64;0.09;0.94;58;0.46;0.04;65.31;5;-1
